pincode,city,district,state
110001,New Delhi,Central Delhi,DELHI
110002,New Delhi,Central Delhi,DELHI
110003,New Delhi,South Delhi,DELHI
110004,New Delhi,Central Delhi,DELHI
110005,New Delhi,Central Delhi,DELHI
110006,Delhi,North Delhi,DELHI
110007,Delhi,North Delhi,DELHI
110008,New Delhi,Central Delhi,DELHI
110009,Delhi,North West Delhi,DELHI
110010,South West Delhi,South West Delhi,DELHI
110011,New Delhi,Central Delhi,DELHI
110012,New Delhi,Central Delhi,DELHI
110013,New Delhi,South Delhi,DELHI
110014,New Delhi,South Delhi,DELHI
110015,New Delhi,West Delhi,DELHI
110016,South West Delhi,South West Delhi,DELHI
110017,New Delhi,South Delhi,DELHI
110018,New Delhi,West Delhi,DELHI
110019,New Delhi,South Delhi,DELHI
110020,New Delhi,South Delhi,DELHI
110021,South West Delhi,South West Delhi,DELHI
110022,South West Delhi,South West Delhi,DELHI
110023,Delhi,South West Delhi,DELHI
110024,New Delhi,South Delhi,DELHI
110025,New Delhi,South Delhi,DELHI
110026,New Delhi,West Delhi,DELHI
110027,New Delhi,West Delhi,DELHI
110028,New Delhi,South West Delhi,DELHI
110029,New Delhi,New Delhi,DELHI
110030,South West Delhi,South West Delhi,DELHI
110031,East Delhi,East Delhi,DELHI
110032,North East Delhi,North East Delhi,DELHI
110033,Delhi,North West Delhi,DELHI
110034,Delhi,North West Delhi,DELHI
110035,Delhi,North West Delhi,DELHI
110036,Delhi,North West Delhi,DELHI
110037,South West Delhi,South West Delhi,DELHI
110038,South West Delhi,South West Delhi,DELHI
110039,Delhi,North West Delhi,DELHI
110040,Delhi,North West Delhi,DELHI
110041,New Delhi,West Delhi,DELHI
110042,Delhi,North West Delhi,DELHI
110043,New Delhi,South West Delhi,DELHI
110044,New Delhi,South Delhi,DELHI
110045,New Delhi,South West Delhi,DELHI
110046,New Delhi,South West Delhi,DELHI
110047,South West Delhi,South West Delhi,DELHI
110048,New Delhi,South Delhi,DELHI
110049,New Delhi,South Delhi,DELHI
110051,East Delhi,East Delhi,DELHI
110052,Delhi,North West Delhi,DELHI
110053,North East Delhi,North East Delhi,DELHI
110054,Delhi,North Delhi,DELHI
110055,New Delhi,Central Delhi,DELHI
110056,Delhi,North West Delhi,DELHI
110057,South West Delhi,South West Delhi,DELHI
110058,New Delhi,West Delhi,DELHI
110059,New Delhi,West Delhi,DELHI
110060,New Delhi,Central Delhi,DELHI
110061,South West Delhi,South West Delhi,DELHI
110062,New Delhi,South Delhi,DELHI
110063,New Delhi,West Delhi,DELHI
110064,New Delhi,West Delhi,DELHI
110065,New Delhi,South Delhi,DELHI
110066,South West Delhi,South West Delhi,DELHI
110067,South West Delhi,South West Delhi,DELHI
110068,South West Delhi,South West Delhi,DELHI
110069,New Delhi,Central Delhi,DELHI
110070,South West Delhi,South West Delhi,DELHI
110071,New Delhi,South West Delhi,DELHI
110072,South West Delhi,South West Delhi,DELHI
110073,New Delhi,South West Delhi,DELHI
110074,South West Delhi,South West Delhi,DELHI
110075,New Delhi,South West Delhi,DELHI
110076,New Delhi,South Delhi,DELHI
110077,New Delhi,South West Delhi,DELHI
110078,New Delhi,West Delhi,DELHI
110080,South Delhi,South Delhi,DELHI
110081,Delhi,North West Delhi,DELHI
110082,Delhi,North West Delhi,DELHI
110083,Delhi,North West Delhi,DELHI
110084,Delhi,North Delhi,DELHI
110085,Delhi,North Delhi,DELHI
110086,Delhi,North West Delhi,DELHI
110087,New Delhi,West Delhi,DELHI
110088,Delhi,North West Delhi,DELHI
110089,North West Delhi,North West Delhi,DELHI
110091,East Delhi,East Delhi,DELHI
110092,East Delhi,East Delhi,DELHI
110093,East Delhi,East Delhi,DELHI
110094,Delhi North East,North West Delhi,DELHI
110095,East Delhi,East Delhi,DELHI
110096,East Delhi,East Delhi,DELHI
121001,Faridabad,Faridabad,HARYANA
121002,Faridabad,Faridabad,HARYANA
121003,Faridabad,Faridabad,HARYANA
121004,Ballabgarh,Faridabad,HARYANA
121005,Faridabad,Faridabad,HARYANA
121006,Ballabgarh,Faridabad,HARYANA
121007,Faridabad,Faridabad,HARYANA
121008,Faridabad,Faridabad,HARYANA
121009,Faridabad,Faridabad,HARYANA
121010,Faridabad,Faridabad,HARYANA
121012,Faridabad,Faridabad,HARYANA
